iter	Passed	Remaining
1546	30051	164203
1547	30069	164176
1548	30088	164155
1549	30108	164142
1550	30128	164125
1551	30146	164097
1552	30166	164080
1553	30185	164056
1554	30203	164028
1555	30223	164013
1556	30242	163990
1557	30262	163974
1558	30282	163959
1559	30301	163938
1560	30319	163909
1561	30340	163899
1562	30358	163875
1563	30378	163855
1564	30397	163836
1565	30415	163810
1566	30434	163788
1567	30454	163770
1568	30473	163750
1569	30492	163729
1570	30512	163709
1571	30531	163690
1572	30551	163671
1573	30570	163649
1574	30589	163627
1575	30608	163606
1576	30626	163581
1577	30645	163559
1578	30665	163542
1579	30685	163524
1580	30704	163506
1581	30724	163489
1582	30742	163462
1583	30763	163452
1584	30781	163424
1585	30802	163414
1586	30823	163399
1587	30841	163371
1588	30858	163344
1589	30877	163322
1590	30899	163317
1591	30919	163296
1592	30936	163267
1593	30955	163245
1594	30975	163226
1595	30992	163197
1596	31011	163174
1597	31029	163148
1598	31048	163128
1599	31067	163104
1600	31097	163141
1601	31116	163120
1602	31135	163098
1603	31154	163078
1604	31173	163051
1605	31192	163034
1606	31211	163008
1607	31229	162983
1608	31254	162992
1609	31274	162978
1610	31294	162960
1611	31314	162944
1612	31332	162916
1613	31351	162893
1614	31369	162869
1615	31389	162853
1616	31409	162836
1617	31428	162814
1618	31448	162796
1619	31467	162776
1620	31485	162749
1621	31505	162733
1622	31524	162712
1623	31544	162696
1624	31566	162690
1625	31590	162691
1626	31610	162674
1627	31631	162662
1628	31652	162652
1629	31670	162626
1630	31689	162605
1631	31707	162579
1632	31726	162558
1633	31746	162539
1634	31764	162514
1635	31783	162494
1636	31802	162468
1637	31820	162445
1638	31840	162425
1639	31858	162402
1640	31875	162369
1641	31895	162350
1642	31914	162330
1643	31932	162302
1644	31951	162284
1645	31970	162259
1646	31988	162234
1647	32009	162223
1648	32029	162205
1649	32049	162190
1650	32070	162176
1651	32089	162159
1652	32109	162140
1653	32131	162132
1654	32151	162118
1655	32171	162100
1656	32190	162077
1657	32210	162063
1658	32228	162038
1659	32246	162011
1660	32264	161983
1661	32281	161952
1662	32301	161935
1663	32322	161921
1664	32341	161901
